timestamp,system_id,dc_power_kw,dc_voltage_v,dc_current_a,irradiance_wm2
2024-06-01T00:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T00:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T00:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T00:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T01:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T01:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T01:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T01:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T02:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T02:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T02:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T02:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T03:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T03:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T03:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T03:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T04:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T04:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T04:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T04:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T05:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T05:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T05:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T05:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T06:00:00,SYS-001,0.0,0.0,0.0,0
2024-06-01T06:00:00,SYS-002,0.0,0.0,0.0,0
2024-06-01T06:00:00,SYS-003,0.0,0.0,0.0,0
2024-06-01T06:00:00,SYS-004,0.0,0.0,0.0,0
2024-06-01T07:00:00,SYS-001,119.35,772.5,154.5,250.8
2024-06-01T07:00:00,SYS-002,60.29,773.3,77.96,253.6
2024-06-01T07:00:00,SYS-003,78.14,774.1,100.94,256.4
2024-06-01T07:00:00,SYS-004,44.4,775.0,57.29,259.4
2024-06-01T08:00:00,SYS-001,237.53,844.2,281.37,499.2
2024-06-01T08:00:00,SYS-002,117.59,842.9,139.51,494.6
2024-06-01T08:00:00,SYS-003,144.89,837.4,173.02,475.4
2024-06-01T08:00:00,SYS-004,84.46,842.6,100.24,493.4
